ID	readAndUnderstood	oppToAskAboutStudy	questionsAnswered	withdrawAtAnyTime	permissionToShareData	agreeToParticipate	careerStatus	engagement	contribImprvDoc	contribSuppOthers	contribFixBugs	contribAddFeatures	contribProvTransl	contribOther	contribOtherDesc	deterrentsLackOfInterest	deterrentsLackOfTime	deterrentsDontKnowHowToStart	deterrentsLackOfCodingSkills	deterrentsNotConfidentOfWelcome	deterrentsUnawareContributingWasPossible	workshopsOnContributing	gender	genderDesc	genderAffected	nonHeteroCommunity	nonHeteroDesc	nonHeteroAffected	raceCulture	raceCultureDesc	raceCultureAffected	disability	disabilityDesc	disabilityAffected	domLangEnglish	domLangDesc	domLangAffected	anonymityCheck	genderNegPerc	genderHideID	genderIgnored	genderDerisive	genderMicroaggressions	genderSelfDoubt	genderStereotypeThreat	genderOthersLikeMe	nonHeteroNegPerc	nonHeteroHideID	nonHeteroIgnored	nonHeteroDerisive	nonHeteroMicroaggressions	nonHeteroSelfDoubt	nonHeteroStereotypeThreat	nonHeteroOthersLikeMe	raceCultureNegPerc	raceCultureHideID	raceCultureIgnored	raceCultureDerisive	raceCultureMicroaggressions	raceCultureSelfDoubt	raceCultureStereotypeThreat	raceCultureOthersLikeMe	disabilityNegPerc	disabilityHideID	disabilityIgnored	disabilityDerisive	disabilityMicroaggressions	disabilitySelfDoubt	disabilityStereotypeThreat	disabilityOthersLikeMe	domLangNegPerc	domLangHideID	domLangIgnored	domLangDerisive	domLangMicroaggressions	domLangSelfDoubt	domLangStereotypeThreat	domLangOthersLikeMe	awareOfCodeOfConduct	psychopyDocumentationEasy	trustCodeWillBeEnforced	fbclid
58	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	3	3	2	3	4	3	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	No	german	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	4	4	NA
59	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	4	5	4	4	5	4	woman	NA	No	Yes	lesbian	No	No	NA	NA	Yes	adhd	No	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	6	NA
60	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	5	2	2	1	1	4	3	man	NA	No	No	NA	NA	No	NA	NA	Yes	adhd	No	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	5	NA
61	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	2	3	2	1	3	2	man	NA	No	Yes	NA	No	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	6	6	NA
62	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	5	3	4	3	2	3	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	7	NA
63	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - senior	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	4	5	5	4	1	4	4	man	NA	No	No	NA	NA	No	NA	NA	Yes	dyslexia	Yes	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	4	4	4	NA	NA	NA	NA	NA	NA	NA	NA	No	4	6	NA
64	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - senior	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	1	1	1	1	3	1	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	4	NA	NA
65	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	4	4	4	NA	2	NA	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	6	4	NA
66	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	4	2	2	1	1	4	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	4	NA
67	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Occasional contributor	Unselected	Selected	Unselected	Unselected	Unselected	Unselected	NA	1	5	2	1	1	NA	2	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	No	danish	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	4	7	NA
68	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	5	4	2	1	1	3	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	7	6	NA
70	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	4	1	1	1	1	NA	man	NA	No	No	NA	NA	No	NA	NA	Yes	adhd	No	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	3	7	NA
71	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	5	3	4	1	2	2	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	6	6	NA
72	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	2	5	5	3	1	3	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	No	russian	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	4	2	3	Yes	5	4	NA
73	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - senior	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	5	1	1	1	1	2	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	4	7	NA
74	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	5	5	5	1	3	5	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	7	7	NA
75	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Occasional contributor	Unselected	Selected	Selected	Unselected	Unselected	Unselected	NA	1	4	3	2	1	1	5	man	NA	No	No	NA	NA	Yes	NA	No	No	NA	NA	No	i am equally comfortable in english or spanish	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	7	7	NA
76	Yes	Yes	Yes	Yes	Yes	Yes	Technical - senior	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	4	5	4	2	1	3	3	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	5	5	NA
77	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional contributor	Unselected	Selected	Unselected	Unselected	Unselected	Unselected	NA	2	4	2	4	1	1	2	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	No	german	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	4	7	NA
78	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	5	5	5	3	1	1	4	man	NA	No	No	NA	NA	Yes	white/russian	No	No	NA	NA	No	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	5	1	1	1	1	No	4	1	NA
79	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	5	3	1	1	1	2	man	NA	No	No	NA	NA	Yes	NA	No	No	NA	NA	No	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	3	4	NA
80	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional contributor	Unselected	Unselected	Unselected	Unselected	Selected	Unselected	NA	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA
81	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	5	3	4	5	3	5	woman	NA	Yes	No	NA	NA	No	NA	NA	No	NA	NA	No	russian	No	Yes	2	4	1	1	2	4	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	3	7	NA
82	Yes	Yes	Yes	Yes	Yes	Yes	Technical - senior	Occasional contributor	Unselected	Selected	Unselected	Unselected	Unselected	Unselected	NA	2	5	2	1	1	1	3	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	6	NA
83	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	4	4	3	3	3	4	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	No	hebrew	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	4	4	NA
84	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	2	5	5	5	4	5	woman	NA	No	Yes	NA	No	Yes	i am a single parent on a low income	No	Yes	adhd	Yes	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3	1	1	7	5	7	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	6	IwZXh0bgNhZW0CMTEAAR6I2j6LemyxTCh6b0-eIj91QdNs18B1nbaNdnrvQau0_V9p8-77aSLTeja6pg_aem_M4m_jqd-10W1rq8asjfilQ
86	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional contributor	Unselected	Unselected	Selected	Unselected	Unselected	Unselected	NA	1	5	2	1	1	1	3	man	NA	No	Yes	gay	No	Yes	latino	No	No	NA	NA	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	3	5	NA
87	Yes	Yes	Yes	Yes	Yes	Yes	Technical - junior	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	2	4	3	1	1	3	woman	NA	No	Yes	bisexual	No	No	NA	NA	Yes	adhd	No	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	3	4	NA
88	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Senior developer	Unselected	Unselected	Unselected	Unselected	Unselected	Selected	as arises	1	5	2	2	3	1	3	man	NA	No	Yes	sexual	No	Yes	puerto rican / hispanic	No	No	NA	NA	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	4	6	NA
90	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	5	5	5	5	5	5	4	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	7	7	NA
92	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - senior	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	3	1	5	1	1	2	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	No	french	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	7	7	NA
93	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	5	1	2	2	1	5	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	4	4	NA
94	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional contributor	Selected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	1	1	1	1	1	5	woman	NA	Yes	Yes	NA	Yes	Yes	NA	Yes	Yes	NA	NA	Yes	NA	NA	NA	2	6	7	6	5	5	5	5	4	5	4	3	6	7	7	7	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	1	1	NA
96	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	3	4	4	3	1	3	woman	NA	No	Yes	bi	No	No	NA	NA	No	NA	NA	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	4	3	NA
97	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	1	4	5	1	1	5	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	4	4	NA
98	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	4	4	2	5	3	3	3	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	6	NA
